FirstName,	LastName,	UserName,	EmailAddress,	Password,	Ou,	Grp1,	Grp2,	Grp3,	Department,	Role
Chief,	CEO,	ceo,	ceo@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	grManagement,	grUpperManagement,	Office,	CEO
Chief,	CFO,	cfo,	cfo@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	grManagement,	grUpperManagement,	Office,	CFO
Anna,	Jones,	anna,	anna@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	grManagement,	,	Office,	Admin Manager
Alfie,	Anderson,	alfie,	alfie@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	,	,	Office,	Receptionist
Archie,	Allen,	archie,	archie@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	,	,	Office,	Receptionist
Arthur,	Adams,	arthur,	arthur@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	,	,	Office,	Admin Officer
Alvin,	Alexander,	alvin,	alvin@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	,	,	Office,	Admin Officer
Ariana,	Arnold,	ariana,	ariana@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	,	,	Office,	Admin Officer
Anette,	Armstrong,	anette,	anette@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	,	,	Office,	Admin Officer
Alicia,	Andrews,	alicia,	alicia@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	,	,	Office,	HR
Arielle,	Austin,	arielle,	arielle@xxaa.lan,	Pas-sword123,	"OU=ouOffice, DC=xxaa, DC=lan",	grOffice,	,	,	Office,	WHS Officer
Ingvar,	Ivarstead,	ingvar,	ingvar@xxaa.lan,	Pas-sword123,	"OU=ouIT, DC=xxaa, DC=lan",	grIT,	grManagement,	,	IT,	IT, Manager
Inna,	Ingram,	inna,	inna@xxaa.lan,	Pas-sword123,	"OU=ouIT, DC=xxaa, DC=lan",	grIT,	,	,	IT,	IT Tech
Ingi,	Irvin,	ingi,	ingi@xxaa.lan,	Pas-sword123,	"OU=ouIT, DC=xxaa, DC=lan",	grIT,	,	,	IT,	IT Tech
Theo,	Taylor,	theo,	theo@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	grManagement,	grTarmac,	Ground,	Ops Manager
Tyler,	Thompson,	tyler,	tyler@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	grManagement,	grSecurity,	Ground,	Sec Manager
Tim,	Turner,	tim,	tim@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grTarmac,	Ground,	Tarmac
Tessa,	Townsend,	tessa,	tessa@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grTarmac,	Ground,	Tarmac
Tate,	Todd,	tate,	tate@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grTarmac,	Ground,	Tarmac
Talia,	Terry,	talia,	talia@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grTarmac,	Ground,	Tarmac
Tucker,	Tanner,	tucker,	tucker@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grTarmac,	Ground,	Tarmac
Tom,	Tyler,	tom,	tom@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grTarmac,	Ground,	Tarmac
Steve,	Schmidt,	steve,	steve@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grSecurity,	Ground,	Security
Sylvia,	Sanchez,	sylvia,	sylvia@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grSecurity,	Ground,	Security
Sharon,	Scott,	sharon,	sharon@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grSecurity,	Ground,	Security
Sam,	Stewart,	sam,	sam@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grSecurity,	Ground,	Security
Sybil,	Sullivan,	sybil,	sybil@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grSecurity,	Ground,	Security
Smith,	Smith,	smith,	smith@xxaa.lan,	Pas-sword123,	"OU=ouGround, DC=xxaa, DC=lan",	grGround,	,	grSecurity,	Ground,	Security
